SMILES,Smiles_Solvent,Smiles_Merged,Predicted_LogS,Prediction_Status,Prediction_Error
CN(C)c1ccc(C=C2CCCC(=Cc3ccc([N+](=O)[O-])cc3)C2=O)cc1,O,CN1(C)~O~c2([N+](=O)[O-])ccc(cc2)C=C2CCCC(=Cc3ccc1cc3)C2=O,-5.785580158233643,ok,
CCN1C(=CC=C2CCC(=CC=C3Sc4ccc5ccccc5c4N3CC)C2=O)Sc2ccc3ccccc3c21,O,CCN1C(=CC=C2CCC3=CC=C4Sc5ccc6ccccc6c5N4(CC)~O~C23=O)Sc2ccc3ccccc3c21,-5.949743270874023,ok,
CN(C)/C=C/C=C/C=C1\CCC/C(=C\C=C\C=C\N(C)C)C1=O,O,CN(C)/C=C/C=C/C=C1\CCC/C2=C\C=C\C=C\N(C)(C)~O~C12=O,-4.420198917388916,ok,
[2H]C([2H])([2H])C(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CCOC(C)=O,O,[2H]C([2H])([2H])C(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CCO1~O~C1(C)=O,-6.875775337219238,ok,
CCCCN(CCCC)c1ccc(C2=C([O-])C(=C3C=CC(=[N+](CCCC)CCCC)C=C3O)C2=O)c(O)c1,O,CCCCN(CCCC)c1ccc(C2=C3[O-]~O~C4(=[N+](CCCC)CCCC)C=CC(=C3C2=O)C(O)=C4)c(O)c1,-4.741591453552246,ok,
CN1C(=O)/C(=C(O)\C=C\C=C\C=C\C=C\C=C\C(=O)O)C(=O)[C@@H]1CO,O,CN1C(=O)/C(=C2\C=C\C=C\C=C\C=C\C=C\C(=O)(O)~O~O2)C(=O)[C@@H]1CO,-4.619618892669678,ok,
CCN1C(=CC=C2CCC(C=Cc3sc4ccccc4[n+]3CC)=C2C)Sc2ccccc21,O,CC[n+]1c2ccccc2sc12~O~N1(CC)C(=CC=C3CCC(=C3C)C=C2)Sc2ccccc21,,failed,Featurization failed: RDKit could not parse Smiles_Merged
CCc1ccc(-c2cc(-c3ccccc3)c3c([o+]2)C(=Cc2ccc(N(C)C)cc2)CCC3)cc1,O,CCc1ccc(-c23~O~N(C)(C)c4ccc(cc4)C=C4CCCc(c(-c5ccccc5)c2)c4[o+]3)cc1,-10.082942962646484,ok,
CN(C)/C=C/C=C/C=C1\CCC/C(=C\C=C\N(C)C)C1=O,O,CN(C)/C=C/C=C1\CCC/C2=C\C=C\C=C\N(C)(C)~O~C21=O,-3.209329605102539,ok,
CN1C(=O)C(=C(O)C=CC=CC=C[C@H]2C=CCC[C@@H]2C=CC=CC=CC(O)=C2C(=O)[C@H](CO)N(C)C2=O)C(=O)[C@@H]1CO,O,CN1C(=O)C(=C(O)C=CC=CC=C[C@H]2CCC=C[C@@H]2C=CC=CC=CC2=C3C(=O)[C@H](CO)N(C)C3(=O)~O~O2)C(=O)[C@@H]1CO,-4.226502418518066,ok,
CCN1C(=O)/C(=C\C=C\C=C\C=C2\N(C)c3ccccc3C2(C)C)OC1=S,O,CCN1C(=S)O2~O~C1(=O)/C2=C\C=C\C=C\C=C1\N(C)c2ccccc2C1(C)C,-6.236136436462402,ok,
CCN1/C(=C/C=C/C=C/C=C/c2sc3ccccc3[n+]2CC)Sc2ccccc21,O,CC[n+]1c2ccccc2sc12~O~N1(CC)/C(=C/C=C/C=C/C=C/2)Sc2ccccc21,,failed,Featurization failed: RDKit could not parse Smiles_Merged
CC(=O)N(/C=C/C=C/C=C/C1=[N+](CCCCS(=O)(=O)[O-])c2ccc3ccccc3c2C1(C)C)c1ccccc1,O,CC1(C)C2=[N+](CCCCS(=O)(=O)[O-]~O~C(C)(=O)N(c3ccccc3)/C=C/C=C/C=C/2)c2ccc3ccccc3c21,-3.7474191188812256,ok,
"[Na+].[O-]c1ccc(cc1)N=C1C=C(Cl)C(=O)C(Cl)=C1 |c:16,t:10|",O,O=C1C(Cl)=CC(=Nc2ccc([O-]~O~[Na+])cc2)C=C1Cl,-1.8595906496047974,ok,
CCN1/C(=C\C=C\C=C\C=C\c2sc3ccccc3[n+]2CC)Sc2ccccc21,O,CC[n+]1c2ccccc2sc12~O~N1(CC)/C(=C\C=C\C=C\C=C\2)Sc2ccccc21,,failed,Featurization failed: RDKit could not parse Smiles_Merged
CN(C)C=CC=CC=CC1=[N+](C)c2ccccc2C1(C)C,O,C[N+]1=C2C=CC=CC=CN(C)(C)~O~c13ccccc3C2(C)C,-3.737765073776245,ok,
O=C(O)c1ccccc1C1=c2cc3c4c(c2Oc2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,O,O=C1(c2ccccc2C2=c3cc4c5c(c3Oc3c2cc2c6c3CCCN6CCC2)CCC[N+]=5CCC4)~O~O1,-3.3053553104400635,ok,
CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O,O,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC1(=O)~O~O1,-4.773195743560791,ok,
CC(=O)OCC=C(C)C=CC=C(C)C=CC1=C(C)CCCC1(C)C,O,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CCO1~O~C1(C)=O,-5.667824745178223,ok,
CC(C=CC=C(C)C=CC1=C(C)C(O)CCC1(C)C)=CC=O,O,CC1=CC=CC(C)=CC(=O)~O~OC2CCC(C)(C)C(=C2C)C=C1,-4.037902355194092,ok,
CN(C)c1ccc(/C=C2\CCc3c(-c4ccccc4)cc(-c4ccccc4)[se+]c32)cc1,O,,,failed,"Pre-condition Violation
	bond already exists
	Violation occurred on line 334 in file Code/GraphMol/RWMol.cpp
	Failed Expression: !(boost::edge(atomIdx1, atomIdx2, d_graph).second)
	RDKIT: 2022.09.5
	BOOST: 1_78
"
CC(C=CC1=C(C)C(O)CCC1(C)C)=CC=CC(C)=CC(=O)O,O,CC(C=CC1=C(C)C(O)CCC1(C)C)=CC=CC(C)=CC1(=O)~O~O1,-4.3068156242370605,ok,
N#CC(C#N)=C(C#N)C#N,O,N#CC(C#N)=C1(C#N)~O~N#C1,-3.511756658554077,ok,
CCCN(CCC)c1ccc(/C=C/c2cc(-c3ccc(OCC)cc3)cc(-c3ccc(OCC)cc3)[o+]2)cc1,O,CCCN(CCC)c1ccc(/C=C/c2cc3cc(-c4ccc(OCC)cc4)(~O~O(CC)c4ccc-3cc4)[o+]2)cc1,-11.023750305175781,ok,
CCN1/C(=C\C=C2\CCc3c(-c4ccccc4)cc(-c4ccccc4)[o+]c32)Sc2ccccc21,O,CCN12~O~c3(-c4ccccc4)cc(-c4ccccc4)c4c([o+]3)/C(=C\C=C/1Sc1ccccc12)CC4,-9.419439315795898,ok,
COc1ccc(N(/C=C/C=C/C=C2\SC(=S)N(C)C2=O)C(C)=O)cc1,O,CC(=O)N1/C=C/C=C/C=C2\SC(=S)N(C)C2(=O)~O~O(C)c2ccc1cc2,-5.793109893798828,ok,
CCN1C(=O)C(=CC2=C(OC)C(=CC=C3Sc4ccccc4N3CC)CC2)SC1=S,O,CCN1C(=CC=C2CCC3=C2O(C)~O~C2(=O)C(=C3)SC(=S)N2CC)Sc2ccccc21,-6.747351169586182,ok,
CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC=NCCCC[C@H](N)C(=O)O,O,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC=NCCCC[C@H](N)C1(=O)~O~O1,-2.9834694862365723,ok,
CCN1/C(=C/C=C/C=C/C2=[N+](CCCCCC(=O)O)c3ccc(S(=O)(=O)O)cc3C2(C)C)C(C)(C)c2cc(S(=O)(=O)[O-])ccc21,O,CCN1/C2=C/C=C/C=C/C3=[N+](CCCCCC(=O)(O)~O~[O-]S(=O)(=O)c4ccc1c(c4)C2(C)C)c1ccc(S(=O)(=O)O)cc1C3(C)C,-4.295056343078613,ok,
OCCN1C(=CC=C2CCC(C=Cc3sc4ccccc4[n+]3CCO)=C2c2ccccc2)Sc2ccccc21,O,OCC[n+]1c2ccccc2sc12~O~OCCN1C(=CC=C3CCC(=C3c3ccccc3)C=C2)Sc2ccccc21,,failed,Featurization failed: RDKit could not parse Smiles_Merged
