SMILES,Smiles_Solvent,Smiles_Merged,Predicted_LogS,Prediction_Status,Prediction_Error
CN(C)/C=C/C=C/C=C1\CCC/C(=C\C=C\N(C)C)C1=O,CS(C)=O,CN(C)/C=C/C=C1\CCC/C2=C\C=C\C=C\N(C)(C)~S(C)(C)=O~C21=O,-2.3965673446655273,ok,
CN1C(=O)C(=C(O)C=CC=CC=C[C@H]2C=CCC[C@@H]2C=CC=CC=CC(O)=C2C(=O)[C@H](CO)N(C)C2=O)C(=O)[C@@H]1CO,CS(C)=O,CN1C(=O)C(=C(O)C=CC=CC=C[C@H]2CCC=C[C@@H]2C=CC=CC=CC2=C3C(=O)[C@H](CO)N(C)C3(=O)~O=S(C)(C)~O2)C(=O)[C@@H]1CO,-3.235633134841919,ok,
CCN1C(=O)/C(=C\C=C\C=C\C=C2\N(C)c3ccccc3C2(C)C)OC1=S,CS(C)=O,CCN1C(=S)O2~S(C)(C)=O~C1(=O)/C2=C\C=C\C=C\C=C1\N(C)c2ccccc2C1(C)C,-2.902244806289673,ok,
CCN1/C(=C/C=C/C=C/C=C/c2sc3ccccc3[n+]2CC)Sc2ccccc21,CS(C)=O,CC[n+]1c2ccccc2sc12~O=S(C)(C)~N1(CC)/C(=C/C=C/C=C/C=C/2)Sc2ccccc21,,failed,Featurization failed: RDKit could not parse Smiles_Merged
CC(=O)N(/C=C/C=C/C=C/C1=[N+](CCCCS(=O)(=O)[O-])c2ccc3ccccc3c2C1(C)C)c1ccccc1,CS(C)=O,CC1(C)C2=[N+](CCCCS(=O)(=O)[O-]~S(C)(C)=O~C(C)(=O)N(c3ccccc3)/C=C/C=C/C=C/2)c2ccc3ccccc3c21,-2.814790964126587,ok,
"[Na+].[O-]c1ccc(cc1)N=C1C=C(Cl)C(=O)C(Cl)=C1 |c:16,t:10|",CS(C)=O,CS(C)(=O~[Na+])~[O-]c1ccc(N=C2C=C(Cl)C(=O)C(Cl)=C2)cc1,-1.9438769817352295,ok,
CCN1/C(=C\C=C\C=C\C=C\c2sc3ccccc3[n+]2CC)Sc2ccccc21,CS(C)=O,CC[n+]1c2ccccc2sc12~O=S(C)(C)~N1(CC)/C(=C\C=C\C=C\C=C\2)Sc2ccccc21,,failed,Featurization failed: RDKit could not parse Smiles_Merged
CN(C)C=CC=CC=CC1=[N+](C)c2ccccc2C1(C)C,CS(C)=O,C[N+]1=C2C=CC=CC=CN(C)(C)~S(C)(C)=O~c13ccccc3C2(C)C,-2.059478998184204,ok,
O=C(O)c1ccccc1C1=c2cc3c4c(c2Oc2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,CS(C)=O,CS1(C)~OC(=O)(c2ccccc2C2=c3cc4c5c(c3Oc3c2cc2c6c3CCCN6CCC2)CCC[N+]=5CCC4)~O=1,-2.820409059524536,ok,
CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O,CS(C)=O,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC1(=O)~O=S(C)(C)~O1,-1.4491684436798096,ok,
CC(=O)OCC=C(C)C=CC=C(C)C=CC1=C(C)CCCC1(C)C,CS(C)=O,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CCO1~S(C)(C)=O~C1(C)=O,-1.5174423456192017,ok,
CC(C=CC=C(C)C=CC1=C(C)C(O)CCC1(C)C)=CC=O,CS(C)=O,CC1=CC=CC(C)=CC(=O)~O=S(C)(C)~OC2CCC(C)(C)C(=C2C)C=C1,-1.4256583452224731,ok,
CN(C)c1ccc(/C=C2\CCc3c(-c4ccccc4)cc(-c4ccccc4)[se+]c32)cc1,CS(C)=O,CN(c1ccc(/C=C2\CCc3c(-c4ccccc4)cc(-c4ccccc4)[se+]c32)cc1)C1~O=S~1(C)C,-3.730839729309082,ok,
CC(C=CC1=C(C)C(O)CCC1(C)C)=CC=CC(C)=CC(=O)O,CS(C)=O,CC(C=CC1=C(C)C(O)CCC1(C)C)=CC=CC(C)=CC1(=O)~O=S(C)(C)~O1,-1.6585203409194946,ok,
N#CC(C#N)=C(C#N)C#N,CS(C)=O,CS1(C)~N#CC(C#N)(=C(C#N)C#N)~O=1,-2.8527488708496094,ok,
CCCN(CCC)c1ccc(/C=C/c2cc(-c3ccc(OCC)cc3)cc(-c3ccc(OCC)cc3)[o+]2)cc1,CS(C)=O,CCCN(CCC)c1ccc(/C=C/c2cc3cc(-c4ccc(OCC)cc4)(~O=S(C)(C)~O(CC)c4ccc-3cc4)[o+]2)cc1,-7.644659996032715,ok,
CCN1/C(=C\C=C2\CCc3c(-c4ccccc4)cc(-c4ccccc4)[o+]c32)Sc2ccccc21,CS(C)=O,CCN12~S(C)(C)=O~c3(-c4ccccc4)cc(-c4ccccc4)c4c([o+]3)/C(=C\C=C/1Sc1ccccc12)CC4,-7.068912506103516,ok,
